"분류","자치구","공연/행사명","날짜/시간","장소","기관명","이용대상","이용요금","출연자정보","프로그램소개","기타내용","홈페이지?주소","대표이미지","신청일","시민/기관","시작일","종료일","테마분류","경도(X좌표)","위도(Y좌표)","유무료","문화포털상세URL"
"교육/체험","종로구","[돈의문박물관마을] 2024년 하반기 한옥예술체험 [예술가의 시간]","2024-08-01~2024-12-22","돈의문박물관마을","돈의문박물관마을","프로그램별 상이","상세정보 참고","","","","https://dmvillage.info/news/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=47744950","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=298edd685e0c4a2e84b1cd62785fe646&thumb=Y","2024-07-24","기관","2024-08-01 00:00:00.0","2024-12-22 00:00:00.0","기타","126.96852312550762","37.56882394907892","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148404&menuNo=200011"
"교육/체험","강동구","[강동구립도서관] 1기 특성화 프로그램","2024-08-01~2024-12-09","강동구립도서관","강동문화재단","프로그램별 상이(상세페이지 참고)","상세정보 참고","","","","https://www.gdfac.or.kr/community/ko/notice/98665?q=null","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=27014c3473f34acbaf2ebdc331fd0311&thumb=Y","2024-06-27","기관","2024-08-01 00:00:00.0","2024-12-09 00:00:00.0","기타","127.133342998226","37.5328454696729","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147833&menuNo=200011"
"교육/체험","강서구","[강서문화원] 남도민요판소리","2024-08-01~2024-09-30","강서아트리움 4층 음악연습실","강서문화원","초등학생~성인","60,000원","","","","https://culture.gangseo.seoul.kr/gsfc/education/view.do?eduSn=85&menuNo=800042","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=66d0edd8186646ee87d561f43bb90c13&thumb=Y","2024-07-19","기관","2024-08-01 00:00:00.0","2024-09-30 00:00:00.0","기타","126.837642139084","37.537543087798","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148252&menuNo=200011"
"전시/미술","용산구","[노들섬] Look at ME 청년 마음 전시 [랜덤 다이버시티 2024 : 더 레터]","2024-08-01~2024-09-29","노들라운지","노들섬","누구나","","","","","https://nodeul.org/program/look-at-me-%ec%b2%ad%eb%85%84-%eb%a7%88%ec%9d%8c-%ec%a0%84%ec%8b%9c%e3%80%88%eb%9e%9c%eb%8d%a4-%eb%8b%a4%ec%9d%b4%eb%b2%84%ec%8b%9c%ed%8b%b0-2024-%eb%8d%94-%eb%a0%88%ed%84%b0%e3%80%89/","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=727f04b338e442dbb9278bb270714f94&thumb=Y","2024-07-25","기관","2024-08-01 00:00:00.0","2024-09-29 00:00:00.0","기타","126.958036465507","37.5176638307111","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148430&menuNo=200009"
"전시/미술","중구","[서울디자인재단] AI Fusion","2024-08-01~2024-09-18","동대문디자인플라자 갤러리문","서울디자인재단","누구나","무료","","","","https://ddp.or.kr/index.html?menuno=230&siteno=2&bbsno=525&boardno=15&bbstopno=525&act=view&subno=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cb97b75cb83b428da50f977506668425&thumb=Y","2024-07-08","기관","2024-08-01 00:00:00.0","2024-09-18 00:00:00.0","기타","127.0096257245","37.5668131264","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148017&menuNo=200009"
"축제-문화/예술","강북구","[강북문화재단] 2024 강북Festa - 전시 안내","2024-08-01~2024-09-03","강북문화예술회관 강북진달래홀","강북문화재단","전체관람","","","","","https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=240","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a675ccbdd40649cf956c6523ae9855ad&thumb=Y","2024-07-22","기관","2024-08-01 00:00:00.0","2024-09-03 00:00:00.0","기타","127.013878144422","37.6409897866256","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148315&menuNo=200010"
"전시/미술","강서구","[강서문화원] 2023 겸재 내일의 작가 대상 수상자전 [게우는 방]","2024-08-01~2024-09-01","겸재정선미술관 제2기획전시실","강서문화원","누구나","1,000원","","","","https://culture.gangseo.seoul.kr/gsfc/culture/kgallery/display/view.do?menuNo=800067&cultureSn=83","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=96ac831ce3624a4392a9e8948cc2de23&thumb=Y","2024-08-06","기관","2024-08-01 00:00:00.0","2024-09-01 00:00:00.0","기타","126.838412024868","37.5722229700452","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148684&menuNo=200009"
"교육/체험","종로구","옛 서울시장 공관의 역사와 한양도성의 의미","2024-08-01~2024-08-31","한양도성 혜화동 전시안내센터","서울시청","성인, 청소년, 초등학생(3학년 이상)","","","","","https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240723133537234632&code=T200","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=706cee3e0c7048979fe72da1f071c919&thumb=Y","2024-07-30","기관","2024-08-01 00:00:00.0","2024-08-31 00:00:00.0","기타","127.003012312572","37.5886093418801","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148531&menuNo=200011"
"영화","중구","[청춘극장] 2024년 8월 영화 및 공연 프로그램","2024-08-01~2024-08-31","청춘극장 문화일보홀","서울시청","프로그램별 상이","2,000원","","","","https://cafe.naver.com/seoulsilvercinema/2517","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c48c719f526f404a97370e81c7da8c1a&thumb=Y","2024-07-24","기관","2024-08-01 00:00:00.0","2024-08-31 00:00:00.0","어르신 문화행사","126.968644839862","37.5671292085624","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148378&menuNo=200013"
"교육/체험","마포구","[마포구립서강도서관] [8월/어린이메이킹] 해봄아 노올자! 해봄맘껏Time","2024-08-01~2024-08-31","마포구립서강도서관 4층 어린이자료실 해봄","마포구청","초등 1-6학년 해봄이(요일별 6명)","","","","","https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=8889","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7077aa6abe9a408b9493b21603d9fdce&thumb=Y","2024-07-27","기관","2024-08-01 00:00:00.0","2024-08-31 00:00:00.0","어린이/청소년 문화행사","126.932061794829","37.5477347268018","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148476&menuNo=200011"
"교육/체험","광진구","[서울상상나라] 여름의 빛과 그림자","2024-08-01~2024-08-31","서울상상나라 지하1층 빛의 방","서울상상나라","6세 이상 어린이","8,000원(입장료 4,000원 별도)","","","","https://www.seoulchildrensmuseum.org/education/educationList.do?Classification=8","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=25a0961120ff48f2be8125e3bfcd6f66&thumb=Y","2024-07-22","기관","2024-08-01 00:00:00.0","2024-08-31 00:00:00.0","어린이/청소년 문화행사","127.077569","37.550550","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148287&menuNo=200011"
"교육/체험","광진구","[서울상상나라] 꽁꽁 얼음 예술가","2024-08-01~2024-08-31","서울상상나라 지하1층 창의놀이실","서울상상나라","5세 이상 어린이","8,000원(입장료 4,000원 별도)","","","","https://www.seoulchildrensmuseum.org/education/educationList.do?Classification=3","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b33b815bcc7460c98e1f4931c111d71&thumb=Y","2024-07-22","기관","2024-08-01 00:00:00.0","2024-08-31 00:00:00.0","어린이/청소년 문화행사","127.077569","37.550550","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148283&menuNo=200011"
"영화","동대문구","[답십리영화미디어아트센터] 답십리시네마 영화 상영시간표(2024.8.1~8.31.)","2024-08-01~2024-08-31","답십리영화미디어아트센터 1층 영화상영관","동대문문화재단","누구나","","","","","http://ddmac.or.kr/sub04/sub01.php?type=view&uid=6538","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c97f6dcdd5a940b68fe6aad5933e4e95&thumb=Y","2024-07-22","기관","2024-08-01 00:00:00.0","2024-08-31 00:00:00.0","기타","127.063764029874","37.5717963732602","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148281&menuNo=200013"
